county_vera,year,n_docs,mean_ideology,pct_progressive,pct_traditional,pct_ext_lenient,pct_int_lenient,county_name,jail_pop,jail_pop_rate,jail_pretrial,jail_pretrial_rate,jail_adm,jail_adm_rate,jail_sentenced,black_jail_rate,white_jail_rate,total_pop,jail_capacity,bw_disparity,jail_utilisation,pretrial_share
San Luis Obispo County,2018.0,31,0.2,29.03225806451613,16.129032258064516,25.806451612903224,9.67741935483871,San Luis Obispo County,527.75,283.77500000000003,287.315,154.49,11498.0625,6182.585,240.435,693.155,271.65749999999997,283146.0,888.0,2.551576893698867,59.43130630630631,54.44149692089057
San Luis Obispo County,2019.0,53,0.25,18.867924528301888,5.660377358490567,18.867924528301888,9.433962264150944,San Luis Obispo County,539.0,292.945,262.745,142.8025,10771.25,5854.165,276.255,786.47,281.9075,282612.0,804.0,2.789815808376861,67.03980099502488,48.74675324675325
San Luis Obispo County,2020.0,41,0.35714285714285715,31.70731707317073,9.75609756097561,41.46341463414634,26.82926829268293,San Luis Obispo County,427.5625,234.9425,164.9925,90.6625,9208.5625,5060.065,262.57,616.9275,219.5,281879.0,797.0,2.8106036446469247,53.646486825595986,38.589095161526096
San Luis Obispo County,2021.0,41,0.2413793103448276,34.146341463414636,14.634146341463413,34.146341463414636,29.268292682926827,San Luis Obispo County,396.25,222.1775,135.32,75.875,6605.375,3703.6425,260.93,471.10499999999996,201.2975,279298.0,797.0,2.340342031073411,49.7176913425345,34.15015772870662
San Luis Obispo County,2022.0,16,0.4666666666666667,56.25,18.75,56.25,50.0,San Luis Obispo County,422.5,234.91,175.445,97.5475,6490.6875,3608.805,247.055,489.22749999999996,209.4,282013.0,797.0,2.336329990448901,53.011292346298625,41.525443786982244
San Mateo County,2015.0,2,0.0,0.0,0.0,0.0,0.0,San Mateo County,862.0,166.88,301.57,58.385000000000005,15153.625,2933.675,560.43,1388.425,109.3575,767551.0,884.625,12.696202821022792,97.44241910414017,34.984918793503475
San Mateo County,2017.0,2,-1.0,0.0,50.0,0.0,0.0,San Mateo County,1018.25,196.32,615.0825,118.5875,14698.25,2833.83,403.1675,1679.1575,131.1675,771430.0,1344.0,12.801627689785962,75.76264880952381,60.405843358703656
San Mateo County,2018.0,18,0.8888888888888888,33.33333333333333,5.555555555555555,33.33333333333333,16.666666666666664,San Mateo County,988.0,190.6975,618.225,119.3275,14989.0,2893.0825,369.775,1663.1225,124.925,771521.0,1360.0,13.312967780668401,72.6470588235294,62.57338056680162
San Mateo County,2019.0,13,0.3333333333333333,30.76923076923077,15.384615384615385,15.384615384615385,23.076923076923077,San Mateo County,1016.5,197.365,704.8199999999999,136.8475,14579.5,2830.735,311.68,1656.6775,123.93249999999999,768268.0,1360.0,13.367579125733767,74.74264705882354,69.33792424987702
San Mateo County,2020.0,33,-0.045454545454545456,15.151515151515152,18.181818181818183,12.121212121212121,12.121212121212121,San Mateo County,733.0,143.78,517.9675,101.60249999999999,11309.25,2218.315,215.0325,1168.1,87.89,762511.0,1360.0,13.290476732278984,53.897058823529406,70.66405184174624
