county,year,disruption_score,disruption_classification,direction,ideology_velocity,novelty_index,topic_shift_score,margin_reversal_score,da_transition_signal,extensive_reversal,intensive_reversal,n_documents,n_new_policies,mean_ideology_score,prior_mean_ideology,election_year,winner_name,margin_1st_2nd,close_5pp,close_10pp,close_15pp,challenger_won
San Luis Obispo County,2020,0.32181763104032163,moderate_disruption,progressive,0.12458471760797343,0.3170731707317073,0.45226395117572954,0.35743321718931476,1,False,False,41,13,0.35714285714285715,0.23255813953488372,,,,,,,
San Luis Obispo County,2021,0.2660272464635183,moderate_disruption,neutral,-0.06219211822660095,0.3170731707317073,0.27331312410972763,0.24805396990140122,1,False,False,41,13,0.2413793103448276,0.30357142857142855,,,,,,,
San Luis Obispo County,2022,0.36549387467023287,moderate_disruption,progressive,0.16842105263157897,0.5,0.4675223144826617,0.1890243902439024,1,False,False,16,8,0.4666666666666667,0.2982456140350877,,,,,,,
San Luis Obispo County,2025,0.16666666666666666,minor_disruption,neutral,0.0,0.6666666666666666,0.0,0.0,0,False,False,3,2,1.6666666666666667,,,,,,,,
San Mateo County,2018,0.4718996974643357,moderate_disruption,progressive,1.8888888888888888,0.16666666666666666,0.29698947087026345,1.1666666666666665,1,True,True,18,3,0.8888888888888888,-1.0,,,,,,,
San Mateo County,2019,0.15494341530737965,minor_disruption,traditional,-0.36666666666666664,0.07692307692307693,0.3508249775780292,0.24615384615384614,0,False,False,13,1,0.3333333333333333,0.7,,,,,,,
San Mateo County,2020,0.270572564257182,moderate_disruption,traditional,-0.6565656565656566,0.0,0.36325206654991554,0.2942326490713587,1,False,False,33,0,-0.045454545454545456,0.6111111111111112,,,,,,,
San Mateo County,2021,0.2243491595258324,minor_disruption,progressive,0.22119815668202764,0.08333333333333333,0.27729647358086096,0.24637681159420288,1,False,False,12,1,0.2857142857142857,0.06451612903225806,,,,,,,
San Mateo County,2025,0.1,minor_disruption,neutral,0.0,0.0,0.0,0.0,1,False,False,3,0,-1.0,,,,,,,,
Santa Barbara County,2019,0.4674999999991504,moderate_disruption,traditional,-1.0,0.25,0.8325546090349764,1.75,0,False,False,4,1,0.0,1.0,,,,,,,
Santa Barbara County,2020,0.3593804086491497,moderate_disruption,progressive,0.55,0.75,0.3241984658732624,0.6499999999999999,0,False,False,4,3,0.75,0.2,,,,,,,
Santa Barbara County,2021,0.4022549981013539,moderate_disruption,traditional,-0.175,0.4,0.6816748921118755,0.35,1,False,False,5,2,0.2,0.375,,,,,,,
Santa Barbara County,2025,0.0,stable,neutral,0.0,0.0,0.0,0.0,0,False,False,3,0,-1.0,,,,,,,,
Santa Clara County,2019,0.26666666666666666,moderate_disruption,neutral,0.0,0.6666666666666666,0.0,0.0,1,False,False,3,2,2.0,,,,,,,,
Santa Clara County,2021,0.34942770846476223,moderate_disruption,traditional,-0.11111111111111116,0.5384615384615384,0.32409294058796645,0.43076923076923085,1,False,False,13,7,0.8888888888888888,1.0,,,,,,,
Santa Clara County,2022,0.47604439252213016,moderate_disruption,progressive,0.8282828282828283,0.5555555555555556,0.4315153606166056,0.8444444444444446,1,False,False,9,5,1.5555555555555556,0.7272727272727273,,,,,,,
Sonoma County,2019,0.0,stable,neutral,0.0,0.0,0.0,0.0,0,False,False,3,0,0.6666666666666666,,,,,,,,
Sonoma County,2020,0.3953773544473457,moderate_disruption,traditional,-1.6666666666666665,0.25,0.37968939252688566,1.25,0,False,True,4,1,-1.0,0.6666666666666666,,,,,,,
Sonoma County,2021,0.2788626661391268,moderate_disruption,progressive,0.6190476190476191,0.3333333333333333,0.41352511465849223,0.5714285714285714,0,False,False,3,1,0.3333333333333333,-0.2857142857142857,,,,,,,
Stanislaus County,2018,0.5333333333333333,significant_disruption,progressive,1.3333333333333333,0.0,0.8325546090385132,1.6666666666666665,1,False,True,3,0,0.3333333333333333,-1.0,,,,,,,
Stanislaus County,2019,0.30954569487020456,moderate_disruption,neutral,0.0,0.16666666666666666,0.594772967328996,0.41666666666666663,1,False,False,6,1,0.0,0.0,,,,,,,
Stanislaus County,2020,0.3849249219851726,moderate_disruption,traditional,-0.9444444444444444,0.16666666666666666,0.5500985699057178,0.2777777777777778,1,False,False,6,1,-0.8333333333333334,0.1111111111111111,,,,,,,
Stanislaus County,2021,0.303928473840103,moderate_disruption,traditional,-0.3166666666666666,0.1111111111111111,0.45575716644731806,0.5833333333333334,1,True,False,18,2,-0.7333333333333333,-0.4166666666666667,,,,,,,
Stanislaus County,2025,0.1,minor_disruption,neutral,0.0,0.0,0.0,0.0,1,False,False,4,0,-0.5,,,,,,,,
Sutter County,2021,0.2897363050851087,moderate_disruption,traditional,-1.0,0.4,0.2736453188988456,0.3999999999999999,0,False,False,5,2,1.0,2.0,,,,,,,
Sutter County,2022,0.3077517298691031,moderate_disruption,traditional,-0.6666666666666667,0.5,0.25428325456298684,0.9166666666666667,0,False,False,4,2,0.5,1.1666666666666667,,,,,,,
Tulare County,2018,0.389999999676305,moderate_disruption,traditional,-0.6666666666666666,0.3333333333333333,0.8325546076910445,0.6666666666666666,0,False,False,3,1,-0.6666666666666666,0.0,,,,,,,
Tulare County,2020,0.36996598246582085,moderate_disruption,neutral,0.0,0.6666666666666666,0.6797779901071076,0.6666666666666666,0,False,True,3,2,-0.6666666666666666,-0.6666666666666666,,,,,,,
Tulare County,2021,0.22342480861520678,minor_disruption,progressive,0.4666666666666666,0.2,0.4610610078389949,0.2666666666666666,0,False,False,5,1,-0.2,-0.6666666666666666,,,,,,,
Tuolumne County,2021,0.3630209087407907,moderate_disruption,traditional,-1.5,0.25,0.5641427859661651,0.24999999999999994,0,False,False,4,1,-0.5,1.0,,,,,,,
Ventura County,2016,0.11111111111111112,minor_disruption,neutral,0.0,0.044444444444444446,0.0,0.0,1,False,False,45,2,-0.4074074074074074,,,,,,,,
Ventura County,2017,0.16471607755913853,minor_disruption,neutral,-0.09259259259259262,0.07894736842105263,0.13511036835145016,0.05438596491228071,1,False,False,38,3,-0.5,-0.4074074074074074,,,,,,,
Ventura County,2018,0.17613779299227766,minor_disruption,progressive,0.26916221033868093,0.05128205128205128,0.14018685219526514,0.04541241890639482,1,False,False,39,2,-0.18181818181818182,-0.45098039215686275,,,,,,,
Ventura County,2019,0.23288138083458573,minor_disruption,traditional,-0.1855072463768116,0.013888888888888888,0.40806976219899616,0.21383477633477632,1,True,False,144,2,-0.5333333333333333,-0.34782608695652173,,,,,,,
Ventura County,2020,0.20934896076269258,minor_disruption,progressive,0.32432432432432434,0.0,0.282516366913058,0.15081967213114755,1,False,False,20,0,0.0,-0.32432432432432434,,,,,,,
Ventura County,2021,0.22575880699887452,minor_disruption,traditional,-0.6521739130434783,0.0,0.23161243234454196,0.08170731707317075,1,False,False,10,0,-1.0,-0.34782608695652173,,,,,,,
Ventura County,2025,0.0,stable,neutral,0.0,0.0,0.0,0.0,0,False,False,7,0,0.0,,,,,,,,
Yolo County,2015,0.5643291612638243,significant_disruption,progressive,2.5,0.0,0.6424372725962244,1.0,1,False,False,3,0,1.5,-1.0,,,,,,,
Yolo County,2018,0.2967197745424806,moderate_disruption,traditional,-0.5,0.16666666666666666,0.2708013239714425,0.6666666666666666,1,False,False,6,1,0.0,0.5,,,,,,,
Yolo County,2020,0.4585387025027836,moderate_disruption,progressive,0.7380952380952381,0.3333333333333333,0.5990057463794999,0.9583333333333333,1,False,True,6,2,1.1666666666666667,0.42857142857142855,,,,,,,
Yolo County,2021,0.3991924064449405,moderate_disruption,progressive,0.28846153846153855,0.6923076923076923,0.3208541488757943,0.33653846153846156,1,False,False,13,9,1.5384615384615385,1.25,,,,,,,
Yolo County,2025,0.2,minor_disruption,neutral,0.0,0.4,0.0,0.0,1,False,False,5,2,1.2,,,,,,,,
Yuba County,2019,0.15000000000000002,minor_disruption,neutral,0.0,0.2,0.0,0.0,1,False,False,5,1,-0.2,,,,,,,,
Yuba County,2020,0.4853804086491497,moderate_disruption,progressive,1.45,0.75,0.3241984658732624,1.25,0,False,True,4,3,1.25,-0.2,,,,,,,
