filename,county,source,relevant_date,date_of_production,upload_date,document_url,download_url,download_success
2018.04.16_Alameda County_Intoxication Evidence I.pdf,Alameda County,Office of the Alameda District Attorney,04/16/2018,,04/03/2025,https://www.aclunc.org/20180416-alameda-county-intoxication-evidence-ipdf,https://drive.google.com/open?id=1_NRalnohsH4TQ-fCfZX9Dz3NogZYR5XH,True
2018.04.16_Alameda County_Intoxication Evidence Part 1.mp4,Alameda County,Office of the Alameda District Attorney,04/16/2018,,04/03/2025,https://www.aclunc.org/20180416-alameda-county-intoxication-evidence-part-1mp4,https://drive.google.com/open?id=19vLwW6O4Fj6WQ0FajTbae1ognagPgyp4,True
2018.05.14_Alameda County_Voluntary Intoxication and Imperfect Self-Defense#2.pdf,Alameda County,Office of the Alameda District Attorney,05/14/2018,,04/03/2025,https://www.aclunc.org/20180514-alameda-county-voluntary-intoxication-and-imperfect-self-defense2pdf,https://drive.google.com/open?id=1HP3qKUJbhx08KovmixJ_Cv9MyG99y7he,True
2018.05.14_Alameda County_Voluntary Intoxication and Imperfect Self-Defense.mp4,Alameda County,Office of the Alameda District Attorney,05/14/2018,,04/03/2025,https://www.aclunc.org/20180514-alameda-county-voluntary-intoxication-and-imperfect-self-defensemp4,https://drive.google.com/open?id=1LadYJ-6s6hg_wHSgUjVb8hFCE1sPdA97,True
2018.07.30_Alameda County_Mental Health Diversion Law.pdf,Alameda County,Office of the Alameda District Attorney,07/30/2018,,04/03/2025,https://www.aclunc.org/20180730-alameda-county-mental-health-diversion-lawpdf,https://drive.google.com/open?id=17LiJFqHtwsWc9orXqF_nyR-bHVXT6hM6,True
2018.07.30_Alameda County_Mental Health Diversion.mp4,Alameda County,Office of the Alameda District Attorney,07/30/2018,,04/03/2025,https://www.aclunc.org/20180730-alameda-county-mental-health-diversionmp4,https://drive.google.com/open?id=1GnGKAp6iMlxuZgULdLkWYq7bDD0mIv2_,True
2018.08.20_Alameda County_Facebook Subpoenas.mp4,Alameda County,Office of the Alameda District Attorney,08/20/2018,,04/03/2025,https://www.aclunc.org/20180820-alameda-county-facebook-subpoenasmp4,https://drive.google.com/open?id=1QMo2-0rvh1LLMqCxxNhZ2T_yY1vchvSm,True
2018.08.20_Alameda County_FACEBOOK SUBPOENAS.pdf,Alameda County,Office of the Alameda District Attorney,08/20/2018,,04/03/2025,https://www.aclunc.org/20180820-alameda-county-facebook-subpoenaspdf,https://drive.google.com/open?id=1qdb1I1Hxuf4xe4xezY-lGU6b8HLSmrve,True
2018.09.04_Alameda County_SB 10 - Abolishing Cash Bail.pdf,Alameda County,Office of the Alameda District Attorney,09/04/2018,,04/03/2025,https://www.aclunc.org/20180904-alameda-county-sb-10-abolishing-cash-bailpdf,https://drive.google.com/open?id=1hg1Zj2dv36QCZXhwGvTJr2TlT37LIEZg,True
2018.09.04_SB 10 - No Money Bail.mp4,Alameda County,Office of the Alameda District Attorney,09/04/2018,,04/03/2025,https://www.aclunc.org/20180904-sb-10-no-money-bailmp4,https://drive.google.com/open?id=1voxqxzctB2zSGpnkHSWnn1BuFD9dZVWd,True
2018.11.26_Alameda County_SB 1437 Overview - Part 3.mp4,Alameda County,Office of the Alameda District Attorney,11/26/2018,,04/03/2025,https://www.aclunc.org/20181126-alameda-county-sb-1437-overview-part-3mp4,https://drive.google.com/open?id=1Hv4T5SoDXAjZ1iFW39jHljVBPalHlNWO,True
"2018.11.26_Alameda County_SB 1437III, CRIMS for Electronic Devices.pdf",Alameda County,Office of the Alameda District Attorney,11/26/2018,,04/03/2025,https://www.aclunc.org/20181126-alameda-county-sb-1437iii-crims-electronic-devicespdf,https://drive.google.com/open?id=1AVC-l14yB_nEbM1FlgTHUkMxcPsRN4sS,True
2019.01.07_Alameda County_Juvenile New Laws - PC 245(a)(1).mp4,Alameda County,Office of the Alameda District Attorney,01/07/2019,,04/03/2025,https://www.aclunc.org/20190107-alameda-county-juvenile-new-laws-pc-245a1mp4,https://drive.google.com/open?id=1LMP1ynvgfsptEDhcewpLqwPhvyiZgyYj,True
2019.01.07_Alameda County_New Laws Juveniles_ Butter Knife ADW.pdf,Alameda County,Office of the Alameda District Attorney,01/07/2019,,04/03/2025,https://www.aclunc.org/20190107-alameda-county-new-laws-juveniles-butter-knife-adwpdf,https://drive.google.com/open?id=1LRa1L13zvB-qpcojQaBQmi6AS6lQSKzc,True
2019.01.07_Alameda Countyt_Points and Authorities-(New Laws Juveniles_Butter Knife ADW).pdf,Alameda County,Office of the Alameda District Attorney,01/07/2019,,04/03/2025,https://www.aclunc.org/20190107-alameda-countyt-points-and-authorities-new-laws-juveniles-butter-knife-adwpdf,https://drive.google.com/open?id=1pIm5xsaxUBF-4k56b7KbtMwF4T8X4wq-,True
"2019.04.08_Alameda County_Joinder-Defendants, Aranda-Bruton.pdf",Alameda County,Office of the Alameda District Attorney,04/08/2019,,04/03/2025,https://www.aclunc.org/20190408-alameda-county-joinder-defendants-aranda-brutonpdf,https://drive.google.com/open?id=1V9ls8-QhPuIMhHDMY0YYnyXLTVVNuiY9,True
2019.04.09_Alameda County_Joinder of Defendants.mp4,Alameda County,Office of the Alameda District Attorney,04/09/2019,,04/03/2025,https://www.aclunc.org/20190409-alameda-county-joinder-defendantsmp4,https://drive.google.com/open?id=1eMlYhRoYi-ApFiVQ1utlUkQhHoqviUQO,True
2019.05.06_Alameda County_Partial Verdicts.mp4,Alameda County,Office of the Alameda District Attorney,05/06/2019,,04/03/2025,https://www.aclunc.org/20190506-alameda-county-partial-verdictsmp4,https://drive.google.com/open?id=1JsJtCfl0-kAeM-9cuSdTfGXeHyi5aAKp,True
2019.05.06_Alameda County_Partial Verdicts.pdf,Alameda County,Office of the Alameda District Attorney,05/06/2019,,04/03/2025,https://www.aclunc.org/20190506-alameda-county-partial-verdictspdf,https://drive.google.com/open?id=15q1ZeQr2kZel7jtenkthxCA-rVpUcscF,True
2019.07.22_Alameda County_Surveillance Videos and Suppression.mp4,Alameda County,Office of the Alameda District Attorney,07/22/2019,,04/03/2025,https://www.aclunc.org/20190722-alameda-county-surveillance-videos-and-suppressionmp4,https://drive.google.com/open?id=1jMjUGDeb9dCssoRtahApwbXdPFrGUfEp,True
2019.07.22_Alameda County_Surveillance Videos-Suppression.mp4,Alameda County,Office of the Alameda District Attorney,07/22/2019,,04/03/2025,https://www.aclunc.org/20190722-alameda-county-surveillance-videos-suppressionmp4,https://drive.google.com/open?id=1J-xjXYGZBwigFOtzxclnpnbU91zBbzBE,True
2019.09.03_Alameda County_Brady Alerts.mp4,Alameda County,Office of the Alameda District Attorney,09/03/2019,,04/03/2025,https://www.aclunc.org/20190903-alameda-county-brady-alertsmp4,https://drive.google.com/open?id=11z9K-6md065a-ToHGgI7_43cbwWOafK7,True
2019.09.03_Alameda County_Brady Alerts.pdf,Alameda County,Office of the Alameda District Attorney,09/03/2019,,04/03/2025,https://www.aclunc.org/20190903-alameda-county-brady-alertspdf,https://drive.google.com/open?id=17pGWlg3r9w8KFzCu1RRgy0FMO9HISqTG,True
2019.10.07_Alameda County_Doe Identification for Victims.mp4,Alameda County,Office of the Alameda District Attorney,10/07/2019,,04/03/2025,https://www.aclunc.org/20191007-alameda-county-doe-identification-victimsmp4,https://drive.google.com/open?id=1P0yhcdD_NhY-ezAIQNjXM6DEFF6XYfnQ,True
2019.10.07_Alameda County_Jane Doe Charging.pdf,Alameda County,Office of the Alameda District Attorney,10/07/2019,,04/03/2025,https://www.aclunc.org/20191007-alameda-county-jane-doe-chargingpdf,https://drive.google.com/open?id=188P28IgFM3-LNEuuZddBDZd8gEHuCvlZ,True
